,asin,Category,Clean_Reviews,predicted
0,B00005N7P0,Magazine,computer enthusiast maxpc welcome sight mailbox remember years savorying every page boot called beginning still obcessed pcs anyone advanced users beginners looking knowledge profit every issue maxpc icing cake subscription comes cdrom packed demos utilities useful apps helpful not blessed broadband connections discovered community hardware enthusiast web sites maxpc formerly boot really informative source computing news articles day consider subscription worth subscriptions computing mags cant wait merge dvd media maybe end offering info divx codecs encoding movies best bang buck audio video equipment try issues cdand may get hooked,Topic 1
1,B00005N7P0,Magazine,thank god not ziff davis publication maxpc actually tell bad print think something no sugar coating would compare style car driver technical but know good time,Topic 1
2,B00005N7OJ,Magazine,antiques magazine publication made antique lovers history buffs pages loaded photos artistic paintings handmade goods rare pictures items similar nature magazine love antiques also consider historians since many articles deal historical collections art antiques magazine overflowing antique goods information articles contained magazine intended visually stimulating cases educational others offer history lessons art popular specific era glimpse art collection museum articles meant stimulate interests already subject often provide means learn discover places see purchase featured works develop appreciation craftsmanship went making items antiques magazine publication dedicated creative art history but one thing isnt creative titles articles might surprise readers first but editors antiques decided get straight point naming featured articles rather try creative features thus titles eating utensil collection spanish culture art etc title points exactly article covers leaving nothing imagination writing antiques certainly good well edited but im afraid many readers find articles little boring describe things well usually offer good history lesson but lack spark readability tried read articles magazine found eyelids getting heavy thoughts drifting subjects generally stick pictures glance antiques magazine dont bother reading material doesnt keep interest overall antiques magazine okay publication unless deep interest antiques history likely become bored quickly try read articles but pictures antiques often interesting even little interest reading magazine one photos alone make worth occasional look,Topic 1
3,B00005N7OJ,Magazine,beautiful magazine work art quality every page bits information fascinating see art homes read every word including ads first discovered gem london many years ago home welcome,Topic 3
4,B00005N7P0,Magazine,great read every issue,Topic 1
5,B00005N7P0,Magazine,magazine great times but technology magazines new stuff isnt good lot advertisments reviews seem biased,Topic 1
6,B00005N7P0,Magazine,ive read maximum pc mpc many years articles not technical written light humor makes easy read time imparting indepth technical knowhow newbie no time possess expert knowledge computers extent electronics already advanced get even advanced period mpc reader naturally become pc nerd amongst friends family coworkers everybody keeps coming advise requests help instance launch new operating system windows win youll get mobbed confused hordes pc users lost sense direction become sole bastion hope standing solidly middle hold guidance also little tid bits information unexpectedly result huge payoffs little corner one issue example showed insert check mark utorrent software encrypted outgoing traffic isp couldnt invade privacy stop bothering threatening sharing copyrighted materials friends relief also fact magazine deals computer hardware software though emphasis hardware also letters computer doctor diagnoses gives good advice range computer illnesses hiccups also get latest news taking place tech world copyright issues overall well rounded publication little everyone young old great small kindle ipad version absolute best better maximum pc app doesnt really work,Topic 1
7,B00005N7P0,Magazine,ordered magazine grandson going wasis deploy technology really enjoyed every issue,Topic 3
8,B00005N7P0,Magazine,subscribed nook version years thoroughly enjoy magazine enough tech whats new keep happy,Topic 5
9,B00005N7P0,Magazine,im old computer advice help maximize computer perfomance welcome maximumpc good tips computer parts vendors usefull tests,Topic 1
10,B00005N7P0,Magazine,one time least favorite computer magazine computer magazines discontinued print editions prefer one remained renewal time came asked really need two ccomputer magazines no one suficient decided page page maximum pc offered useful content per page bonus computer geek youll simply droll dream machines maximum pc reviews highly recommended,Topic 1
11,B00005N7P0,Magazine,didnt receive full year receive magazine twice good magazine didnt receive promised,Topic 5
12,B00005N7P0,Magazine,inexpensive but im getting esubscription would kept stayed hey cant hope good thing last overall great magazine ive subscribed years,Topic 5
13,B00005N7P0,Magazine,periodicals keep date everything foreign affairs fashion got ta know whatup,Topic 2
14,B00005N7P0,Magazine,helpful great way educate things pc always includes helpful artilcles best make pc better,Topic 5
15,B00005N7P0,Magazine,best magazine technology news custom builds howtos complaint not offer 1year auto renewal would immediately,Topic 2
16,B00005N7P0,Magazine,husband likes magaize alot lets know new builds new pc,Topic 1
17,B00005N7P0,Magazine,love magazine different articles reviews help guide purchases purchased entire computer based upon recommended parts magazine last year running great games run high ultra highly recommend magazine gamers still pc consoles devices,Topic 1
18,B00005N7P0,Magazine,getting sick tired seeing next issue news stands hits home loyal members fresh press wonder future us customer service reads,Topic 4
19,B00005N7P0,Magazine,recommend maximum pc computer userbuilder whos not got still keep subscription not expensive but every issue lot valuable information,Topic 1
20,B00005N7P0,Magazine,hoping technical seems look cool technical publication sport compact car but computers,Topic 4
21,B00005N7P0,Magazine,reading magazine years built computers last years using reviews advice given writers magazine found contributors knowledgeable thorough reviews impartial findings best pc magazine far,Topic 1
22,B00005N7P0,Magazine,must magazine anyone windows computers computer building real way,Topic 1
23,B00005N7P0,Magazine,incredibly happy exactly expected not disappointed least,Topic 1
24,B00005N7P0,Magazine,little disappointed unable purchase maximun pc magazine still published monthly no idea not sell look forward receiving magazine worked years magazine would end learning least new things different pc world maximum pc techy pc world magazines howtos discuss coming products maximum pc gets depth not avagee computer user maximum pc covers much hardware digs deeper subscribe puchase magazine going year subscription issues year issues,Topic 1
25,B00005N7P0,Magazine,mag building computer many people build computer today buys today cheap people could not even start build computer articles computer,Topic 1
26,B00005N7P0,Magazine,know part magazines dead but still hold one hand times particular dont wait till 10k feet open magazine plane magazine always packed date information pc computing far best magazine subject articles always informative point times year create well defined builds help build pc instead buying disposable one stores pcs perform last computers upgradeable best yet upgraded wont end land fill quickly addition build articles provide upgrade articles time time help update one previous builds time come information ranges basic cutting edge performance computer builds quality analysis components available provided many issues excellent tips get current version windows great magazine definitely recommend,Topic 1
27,B00005N7P0,Magazine,received one copy mag couldnt really find good reading not,Topic 2
28,B00005N7P0,Magazine,subscribed since great articles accurate reviews hilarious editorialsvery informative always great read wish hilarious pc accelerator god bless rest wonderful magazine but nothing beat itever give second best pc mag ever varied content honest reviewsarticles want scoop dont mind waiting magazine answer new editorinchief knows stuff well always entertaining read great pc journalism,Topic 1
29,B00005N7P0,Magazine,magazine ok ended subscribing pc world instead technician not cusumer,Topic 1
30,B00005N7P0,Magazine,wth going not able resubscribe mags one favorites dead months keep waiting go live resubscribe avoid go publisher directly best pc magazine available doesnt bother fluff pieces serious pcer,Topic 1
31,B00005N7P0,Magazine,subscriber magazine years got awesome deal purchasing two year package great price first issues showed earlier expected would renew time comes,Topic 5
32,B00005N7P0,Magazine,love maximum pc getting subscriptions quite years ended went renew dont list prices contacted email available hoping comes back soon love amazons service magazines listed expire easy manage,Topic 1
33,B00005N7P0,Magazine,subscriber magazine many years love really good information upcoming technology cool ideas well written easy read great source follow questions thinking diy project,Topic 4
